"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.756708312E-3,-1.892813873E0,3.788621521E0,8.834029541E0
1.177770837E-2,-1.842219086E0,3.713028717E0,9.041198730E0
2.179870836E-2,-1.691482544E0,3.528911591E0,8.887019348E0
3.181970835E-2,-1.611548767E0,3.463796997E0,8.884923706E0
4.184070835E-2,-1.556014252E0,3.379522247E0,8.918154602E0
5.186170834E-2,-1.527723083E0,3.446882172E0,9.022787018E0
6.188270834E-2,-1.572480011E0,3.389850769E0,9.057814178E0
7.190370833E-2,-1.658850403E0,3.450923767E0,9.101972351E0
8.192470833E-2,-1.719923401E0,3.567680969E0,9.108259277E0
9.194670833E-2,-1.735491028E0,3.591032410E0,8.896300049E0
1.019677083E-1,-1.760938110E0,3.559298401E0,8.767268372E0
1.119887083E-1,-1.758992157E0,3.520229645E0,8.706794128E0
1.220097083E-1,-1.656156006E0,3.452121277E0,8.691076813E0
1.320307084E-1,-1.559157715E0,3.325783997E0,9.005123749E0
1.420517084E-1,-1.562450867E0,3.143612823E0,9.144483948E0
1.520727084E-1,-1.431922302E0,2.904559937E0,9.210796051E0
1.620937083E-1,-1.169817352E0,2.641856232E0,9.280251617E0
1.721147083E-1,-1.063987427E0,2.589315491E0,9.407037964E0
1.821357083E-1,-1.130149841E0,2.609074402E0,9.387728119E0
1.921567083E-1,-1.208137665E0,2.688708801E0,9.288783875E0
2.021777083E-1,-1.093625793E0,2.684667206E0,9.113348694E0
2.121987083E-1,-1.068029022E0,2.759810944E0,8.970246277E0
2.222197083E-1,-1.290316772E0,3.022215271E0,8.887917480E0
2.322417083E-1,-1.466500397E0,3.223247223E0,8.772657166E0
2.422627083E-1,-1.685494995E0,3.336711273E0,8.687035217E0
2.522837084E-1,-1.893113251E0,3.551215210E0,8.653654633E0
2.623047084E-1,-1.869761810E0,3.634142761E0,8.660839691E0
2.723259584E-1,-1.482217712E0,3.189567261E0,8.567733307E0
2.823469584E-1,-9.366023254E-1,2.590662689E0,8.609047394E0
2.923679583E-1,-3.195854187E-1,1.809886322E0,8.526718597E0
3.023889583E-1,3.550616455E-1,1.538949738E0,8.977431335E0
3.124099583E-1,-2.106120300E-1,1.317111053E0,8.828191681E0
3.224309583E-1,-4.625381470E-2,1.998943176E0,9.959838409E0
3.324519583E-1,-1.948947144E-1,2.212698669E0,9.755213928E0
3.424729583E-1,-6.614744568E-1,1.902244263E0,1.033391052E1
3.524939583E-1,-4.526586914E-1,1.674867096E0,1.083431992E1
3.625159583E-1,-7.050338745E-2,1.248852997E0,1.121931931E1
3.725369584E-1,4.661306763E-1,9.057664490E-1,1.088222031E1
3.825579584E-1,7.981402588E-1,9.277706909E-1,1.065439407E1
3.925789584E-1,8.244854736E-1,1.360071716E0,1.089344696E1
4.025999584E-1,1.069525909E0,1.325044556E0,1.096889008E1
4.126209583E-1,1.007255402E0,1.095272369E0,1.062251038E1
4.226419583E-1,3.168910217E-1,9.071136475E-1,1.048389862E1
4.326629583E-1,2.171983337E-1,1.091829529E0,1.006462051E1
4.426839583E-1,4.517605591E-1,1.036744080E0,9.811945953E0
4.527049583E-1,5.403762817E-1,9.758207703E-1,9.653724976E0
4.627259583E-1,7.470964050E-1,9.204359436E-1,9.676777039E0
4.727469583E-1,1.069974976E0,6.881190491E-1,1.019380188E1
4.827679584E-1,1.562750244E0,6.203100586E-1,1.029618896E1
4.927899583E-1,1.955084381E0,7.514373779E-2,1.038719971E1
5.028109584E-1,1.807341614E0,-3.965254211E-1,1.052790710E1
5.128319584E-1,1.050515442E0,-3.945794678E-1,1.070573730E1
5.228529584E-1,6.268963623E-1,-2.136058044E-1,1.034783157E1
5.328739583E-1,2.963836670E-1,-1.929487610E-1,1.002585114E1
5.428949583E-1,3.038681030E-2,-2.291734314E-1,9.697434082E0
5.529159583E-1,1.466949463E-2,-2.311193848E-1,9.504635010E0
5.629369583E-1,1.724414062E-1,-3.005749512E-1,9.385033722E0
5.729579583E-1,6.715036011E-1,4.475692749E-2,9.169931030E0
5.829789583E-1,9.960287476E-1,5.999523926E-1,9.097481689E0
5.929999583E-1,1.078656921E0,1.340163116E0,8.922046509E0
6.030209584E-1,1.182091827E0,1.690285034E0,9.224866791E0
6.130419584E-1,1.452878723E0,8.175997925E-1,9.987530823E0
6.230639584E-1,1.784738617E0,4.580474854E-2,1.023915756E1
6.330849584E-1,1.912423096E0,-3.784130859E-1,1.030966095E1
6.431059584E-1,1.715582428E0,-1.362017670E0,1.046219376E1
6.531269584E-1,1.382674713E0,-1.874851227E0,1.013422577E1
6.631479583E-1,1.199605408E0,-1.746567993E0,9.977950745E0
