"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-8.062500274E-5,1.187031555E-1,3.545976105E0,9.051227875E0
9.938374977E-3,-5.298980713E-2,3.337310028E0,9.000483398E0
1.995737496E-2,-2.776725769E-1,3.354374542E0,9.037755890E0
2.997637499E-2,-2.049238586E-1,3.540437622E0,9.247020721E0
3.999537497E-2,-2.360591125E-1,3.651656342E0,9.144933014E0
5.001437495E-2,-3.156935120E-1,3.712130585E0,9.088200989E0
6.003337499E-2,-3.203338623E-1,3.699107666E0,9.028325500E0
7.005237497E-2,-2.793191528E-1,3.754043427E0,9.042695618E0
8.007137495E-2,-3.097059631E-1,3.863914948E0,9.240434418E0
9.009074996E-2,-2.682421875E-1,3.823648682E0,9.265133057E0
1.001097500E-1,-2.507286072E-1,3.672313385E0,9.233997803E0
1.101297500E-1,-2.284249878E-1,3.554358673E0,9.211095428E0
1.201487500E-1,-2.426454163E-1,3.545976105E0,9.123826904E0
1.301677500E-1,-3.511697388E-1,3.497626648E0,9.084608459E0
1.401867500E-1,-3.041674805E-1,3.478316803E0,9.047335968E0
1.502057500E-1,-1.663041687E-1,3.580554199E0,8.994495850E0
1.602247500E-1,-1.624122620E-1,3.700305176E0,9.079219666E0
1.702437500E-1,-2.116598511E-1,3.776796112E0,9.182804260E0
1.802627500E-1,-2.362088013E-1,3.776347046E0,9.259295197E0
1.902817500E-1,-2.647993469E-1,3.712130585E0,9.258995819E0
2.003007500E-1,-2.779719543E-1,3.647614746E0,9.222022705E0
2.103197500E-1,-2.354603577E-1,3.601809998E0,9.194330292E0
2.203387500E-1,-2.137554932E-1,3.552562408E0,9.213191071E0
2.303577500E-1,-2.565664673E-1,3.629502411E0,9.273365936E0
2.403777500E-1,-2.029779053E-1,3.642225952E0,9.278305664E0
2.503967500E-1,7.858657837E-2,3.388653259E0,9.124575348E0
2.604157500E-1,9.535171509E-2,3.303630066E0,9.125772858E0
2.704347500E-1,-8.816665649E-2,3.596570892E0,9.153165894E0
2.804537500E-1,-4.281097412E-2,3.586691437E0,9.169631653E0
2.904727500E-1,-2.903961182E-2,3.562441864E0,9.118438110E0
3.004917499E-1,-3.472778320E-2,3.590283966E0,9.136251068E0
3.105107500E-1,-6.750961304E-2,3.550915833E0,9.200317841E0
3.205297500E-1,-1.794767761E-1,3.577859802E0,9.279503174E0
3.305487500E-1,-2.811154175E-1,3.700305176E0,9.330547028E0
3.405677500E-1,-3.465293884E-1,3.721860352E0,9.380093994E0
3.505867500E-1,-2.670446777E-1,3.629053345E0,9.385931854E0
3.606057500E-1,-3.607498169E-2,3.526965637E0,9.142238617E0
3.706257500E-1,1.532812500E-1,3.445684662E0,9.006021881E0
3.806447500E-1,1.586700439E-1,3.398981781E0,9.060957642E0
3.906637500E-1,1.173559570E-1,3.367547150E0,9.168434143E0
4.006827500E-1,3.951782227E-2,3.440295868E0,9.117689667E0
4.107017500E-1,-3.203338623E-2,3.605103149E0,9.066346436E0
4.207207500E-1,-5.074447632E-2,3.623065796E0,9.134754181E0
4.307397500E-1,-5.628295898E-2,3.581901398E0,9.183552704E0
4.407587500E-1,-7.783813477E-2,3.529061279E0,9.106612701E0
4.507777500E-1,8.981323242E-3,3.591182098E0,9.056017914E0
4.607967500E-1,4.864883423E-2,3.564088440E0,9.104816437E0
4.708157500E-1,4.490661621E-4,3.521876221E0,9.165440369E0
4.808347500E-1,-3.188369751E-2,3.508254547E0,9.119635620E0
4.908537500E-1,7.274871826E-2,3.563040619E0,9.353150024E0
5.008737500E-1,2.139051819E-1,3.657494202E0,9.409283295E0
5.108927500E-1,1.806742859E-1,3.611539764E0,9.363927612E0
5.209117500E-1,1.916015625E-2,3.527265015E0,9.339528351E0
5.309307500E-1,-3.876937866E-2,3.531456299E0,9.334289246E0
5.409497500E-1,-4.355941772E-2,3.557053070E0,9.251810760E0
5.509687500E-1,-2.559677124E-2,3.592229919E0,9.172326050E0
5.609877500E-1,-2.320175171E-2,3.558999023E0,9.118587799E0
5.710067500E-1,1.930984497E-2,3.476221161E0,9.152866516E0
5.810257500E-1,9.610015869E-2,3.457061005E0,9.154513092E0
5.910447499E-1,1.564247131E-1,3.496429138E0,9.093889160E0
6.010637500E-1,1.213975525E-1,3.527863770E0,9.188043365E0
6.110827500E-1,7.469467163E-2,3.521127777E0,9.302106171E0
6.211017500E-1,4.266128540E-2,3.504512329E0,9.289382629E0
6.311217500E-1,1.990859985E-2,3.533701630E0,9.207203522E0
6.411407500E-1,2.694396973E-2,3.520529022E0,9.155860291E0
6.511597499E-1,1.646575928E-2,3.470083923E0,9.151369629E0
6.611787500E-1,4.086502075E-2,3.439098358E0,9.177116089E0
6.711977500E-1,8.202941895E-2,3.529210968E0,9.143735504E0
6.812167500E-1,5.523513794E-2,3.582799530E0,9.116492157E0
6.912357500E-1,1.541793823E-2,3.520828400E0,9.173224182E0
7.012547500E-1,3.562591553E-2,3.495830383E0,9.179810486E0
7.112737500E-1,3.023712158E-2,3.521726532E0,9.208101654E0
7.212927500E-1,2.993774414E-3,3.513194275E0,9.249116364E0
7.313117500E-1,-3.697311401E-2,3.538491669E0,9.271120605E0
7.413307500E-1,-5.688171387E-2,3.580853577E0,9.308093719E0
7.513507500E-1,-7.035369873E-2,3.608246613E0,9.286538544E0
7.613697500E-1,-6.406677246E-2,3.583697662E0,9.233997803E0
7.713887500E-1,2.245330811E-3,3.566932526E0,9.214089203E0
7.814077500E-1,1.272354126E-2,3.627556458E0,9.229058075E0
7.914267500E-1,-1.481918335E-2,3.669918365E0,9.146130524E0
8.014457500E-1,5.837860107E-3,3.603007507E0,9.092541962E0
8.114647500E-1,-5.598358154E-2,3.574866028E0,9.093140717E0
8.214837500E-1,-7.783813477E-2,3.568130035E0,9.150321808E0
8.315027500E-1,-4.251159668E-2,3.564687195E0,9.206754456E0
8.415217500E-1,-5.538482666E-2,3.536845093E0,9.226213989E0
8.515407500E-1,-1.158590698E-1,3.533402252E0,9.280700684E0
8.615597500E-1,-6.661148071E-2,3.516637115E0,9.297166443E0
8.715787500E-1,-2.395019531E-3,3.470532990E0,9.298214264E0
8.815987500E-1,1.287322998E-2,3.442391510E0,9.264085236E0
8.916177500E-1,-3.143463135E-2,3.456162872E0,9.164093170E0
9.016367500E-1,-6.990463257E-2,3.484753418E0,9.056616669E0
9.116557500E-1,-1.023870850E-1,3.575464783E0,8.999734955E0
9.216747500E-1,-4.400848389E-2,3.595074005E0,9.057065735E0
9.316937500E-1,-1.541793823E-2,3.487747192E0,9.104367371E0
9.417127499E-1,-2.993774414E-2,3.515589294E0,9.169481964E0
9.517317500E-1,1.377136230E-2,3.630699921E0,9.326355743E0
9.617507500E-1,8.771759033E-2,3.624862061E0,9.424551544E0
9.717697500E-1,8.337661743E-2,3.614982605E0,9.395811310E0
9.817887500E-1,-1.167572021E-2,3.573668518E0,9.254654846E0
9.918077500E-1,3.891906738E-3,3.409759369E0,9.160500641E0
1.001827750E0,2.194436646E-1,3.354524231E0,9.042994995E0
1.011846750E0,2.808160400E-1,3.348985748E0,8.981323242E0
1.021865750E0,2.811154175E-1,3.450474701E0,9.106612701E0
1.031884750E0,2.609074402E-1,3.526666260E0,9.247619476E0
1.041903750E0,2.230361938E-1,3.660937042E0,9.105714569E0
1.051922750E0,1.213975525E-1,3.463347931E0,9.153614960E0
1.061941750E0,1.856140137E-1,3.642974396E0,9.158554688E0
1.071960750E0,9.999206543E-2,3.714525604E0,9.148824921E0
