"Time (s)","X (hPa)"
-5.659632501E-1,1.022578583E3
4.346117500E-1,1.022574463E3
1.435188750E0,1.022570419E3
2.435807750E0,1.022565994E3
3.436409750E0,1.022565994E3
4.437086750E0,1.022565994E3
4.987866750E0,1.022565994E3
5.988442750E0,1.022564011E3
6.989016750E0,1.022560577E3
7.989597750E0,1.022560577E3
8.990175750E0,1.022566528E3
9.990752750E0,1.022577515E3
1.099132675E1,1.022591095E3
1.199190575E1,1.022591095E3
1.299248275E1,1.022580032E3
1.399305875E1,1.022539749E3
1.499363675E1,1.022505188E3
1.599421375E1,1.022505188E3
1.699478875E1,1.022505417E3
1.799536575E1,1.022541351E3
1.899594175E1,1.022590027E3
1.999651975E1,1.022590027E3
2.099709775E1,1.022517853E3
2.199767175E1,1.022443466E3
2.299824875E1,1.022419662E3
2.399882675E1,1.022419662E3
2.499940375E1,1.022444763E3
2.599997975E1,1.022529602E3
2.700055575E1,1.022529602E3
2.800113075E1,1.022503281E3
2.900170675E1,1.022391205E3
3.000228375E1,1.022344513E3
3.100286575E1,1.022339325E3
3.200343775E1,1.022339325E3
3.300401675E1,1.022420883E3
3.400459375E1,1.022500839E3
3.500516875E1,1.022500839E3
3.600574375E1,1.022362442E3
3.700631675E1,1.022277222E3
3.800689975E1,1.022271500E3
3.900747175E1,1.022271500E3
4.000804875E1,1.022316895E3
4.100862675E1,1.022457275E3
4.200920075E1,1.022457275E3
4.300977875E1,1.022405853E3
4.401035475E1,1.022250748E3
4.501093175E1,1.022215118E3
4.601150775E1,1.022215118E3
4.701208575E1,1.022215424E3
4.801266475E1,1.022335281E3
4.901324175E1,1.022484436E3
5.001381475E1,1.022484436E3
5.101439475E1,1.022307205E3
5.201496775E1,1.022197418E3
5.301554775E1,1.022196121E3
5.401619775E1,1.022196121E3
5.501705075E1,1.022222290E3
5.601774475E1,1.022387161E3
5.701785075E1,1.022387161E3
5.801842775E1,1.022380676E3
5.901900275E1,1.022191772E3
6.001958475E1,1.022138367E3
6.102015775E1,1.022129745E3
6.202073675E1,1.022138367E3
6.302130775E1,1.022228851E3
6.402188575E1,1.022419128E3
6.502246175E1,1.022419128E3
6.602303975E1,1.022280502E3
6.702361475E1,1.022133331E3
6.802419275E1,1.022127838E3
6.902476875E1,1.022127838E3
7.002534375E1,1.022145615E3
7.102591975E1,1.022309189E3
7.202649475E1,1.022440262E3
7.302707275E1,1.022440262E3
7.402764975E1,1.022265930E3
7.502822475E1,1.022205353E3
7.602880275E1,1.022199402E3
7.702937775E1,1.022205353E3
7.802995275E1,1.022275085E3
7.903052875E1,1.022452545E3
8.003110675E1,1.022452545E3
8.103168375E1,1.022432404E3
8.203225975E1,1.022316589E3
8.303283675E1,1.022300491E3
8.403341275E1,1.022300491E3
8.503398775E1,1.022322845E3
8.603456475E1,1.022439880E3
8.703513975E1,1.022530365E3
8.803571875E1,1.022530365E3
8.903629275E1,1.022439423E3
9.003687175E1,1.022401047E3
9.103744675E1,1.022401047E3
9.203802275E1,1.022413788E3
9.303859675E1,1.022480011E3
9.403917475E1,1.022564240E3
9.503975175E1,1.022564240E3
9.604032675E1,1.022510834E3
9.704090275E1,1.022463913E3
9.804148375E1,1.022457962E3
9.904205375E1,1.022457962E3
1.000426287E2,1.022503967E3
1.010432067E2,1.022565308E3
1.020437807E2,1.022565308E3
1.030443567E2,1.022561951E3
1.040449327E2,1.022527466E3
1.050455087E2,1.022505798E3
1.060460877E2,1.022505798E3
1.070466657E2,1.022528152E3
1.080472427E2,1.022563324E3
1.090478167E2,1.022579803E3
1.100483937E2,1.022579803E3
1.110489687E2,1.022564468E3
1.120495427E2,1.022550812E3
1.130501237E2,1.022550507E3
1.140506947E2,1.022550507E3
1.150512767E2,1.022562637E3
1.160518467E2,1.022567825E3
1.170524267E2,1.022567825E3
1.180530027E2,1.022561188E3
1.190535777E2,1.022552414E3
1.200541527E2,1.022546387E3
1.210547317E2,1.022543869E3
1.220553077E2,1.022541885E3
