"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.815101624E-1,5.205575888E1,4.349801308E0,1.095450359E0,1.080090532E-1,NaN,1.407271500E1,6.826869725E0
1.481491685E0,5.205575555E1,4.349801988E0,9.384542787E-1,1.712298083E-1,NaN,1.400871596E1,6.692516373E0
2.481472492E0,5.205575756E1,4.349802897E0,8.369427491E-1,1.535057318E-1,NaN,1.421963457E1,6.718711282E0
3.481453538E0,5.205576121E1,4.349798593E0,7.894789632E-1,3.449282198E-1,NaN,1.421963457E1,6.727738974E0
4.481434703E0,5.205576217E1,4.349797333E0,7.814493878E-1,0.000000000E0,NaN,1.421740299E1,6.823571222E0
5.481416225E0,5.205576375E1,4.349795766E0,6.297389120E-1,0.000000000E0,3.203621052E2,1.408733762E1,6.776096226E0
6.481397152E0,5.205577174E1,4.349792457E0,5.972419595E-1,2.879638238E-1,NaN,1.424535391E1,6.791845172E0
7.481378436E0,5.205577241E1,4.349792537E0,7.998843277E-1,0.000000000E0,NaN,1.428409334E1,6.705162878E0
8.481359243E0,5.205577173E1,4.349790625E0,9.335515071E-1,1.055424096E-1,NaN,1.433242739E1,6.546509352E0
9.481340289E0,5.205578134E1,4.349787202E0,9.137689890E-1,1.668921189E-1,NaN,1.452165883E1,6.451149937E0
1.048132193E1,5.205577371E1,4.349797246E0,8.356067101E-1,6.208169831E-1,1.381532305E2,1.440960916E1,6.202568309E0
1.148130262E1,5.205575908E1,4.349816495E0,6.921430258E-1,1.360881984E0,1.415516169E2,1.421090132E1,6.107820480E0
1.248128319E1,5.205574724E1,4.349829020E0,6.954522980E-1,1.334573863E0,1.462936703E2,1.424568475E1,6.276283747E0
1.348126411E1,5.205575185E1,4.349824324E0,8.332567113E-1,2.312219802E-1,NaN,1.399970065E1,6.069570249E0
1.448124492E1,5.205576307E1,4.349813699E0,9.370085476E-1,0.000000000E0,3.160081137E2,1.422771330E1,6.187050229E0
1.548122621E1,5.205578059E1,4.349782171E0,1.285065530E0,1.512249492E0,3.144589121E2,1.427096481E1,6.283406675E0
1.648120761E1,5.205578151E1,4.349783836E0,1.226314289E0,0.000000000E0,3.228609202E2,1.453145199E1,6.258835459E0
1.748118794E1,5.205577904E1,4.349797693E0,9.288784713E-1,6.496034392E-1,1.110602096E2,1.462480234E1,6.153527242E0
1.848116815E1,5.205576312E1,4.349828077E0,5.735008847E-1,1.959403502E0,1.303945696E2,1.448430775E1,6.086306077E0
1.948114955E1,5.205574531E1,4.349848940E0,4.038279597E-1,2.356480856E0,1.392748632E2,1.422519721E1,6.101730234E0
2.048113012E1,5.205575009E1,4.349839127E0,4.123554369E-1,5.479352545E-1,1.408160966E2,1.401704562E1,6.370886952E0
2.148111045E1,5.205576389E1,4.349814236E0,7.932937713E-1,0.000000000E0,3.112621142E2,1.372083473E1,6.199849985E0
2.248109150E1,5.205580127E1,4.349766727E0,1.875297642E0,2.910102502E0,3.208413785E2,1.372083481E1,6.087904333E0
2.348107243E1,5.205582059E1,4.349755916E0,2.368878096E0,1.955178940E0,3.330451833E2,1.372685645E1,6.150347210E0
2.448105252E1,5.205579854E1,4.349773923E0,1.707510719E0,1.045111970E0,1.548695267E2,1.372685632E1,6.102039815E0
2.548103392E1,5.205576711E1,4.349817581E0,1.135459591E0,3.247219116E0,1.426576633E2,1.385177484E1,6.115885762E0
2.648101449E1,5.205573576E1,4.349859294E0,9.701096360E-1,3.848934652E0,1.402965461E2,1.347733577E1,5.956468120E0
2.748099470E1,5.205573149E1,4.349864423E0,7.720463732E-1,1.734468678E0,1.382267090E2,1.333650754E1,5.932023246E0
2.848097575E1,5.205575698E1,4.349809426E0,4.626477454E-1,2.236578563E0,3.084638768E2,1.311774473E1,5.839193518E0
2.948095572E1,5.205579460E1,4.349748101E0,8.705618521E-1,4.426726295E0,3.140231649E2,1.297987955E1,5.622814445E0
3.048093700E1,5.205583064E1,4.349727381E0,1.707461326E0,3.654945628E0,3.267147771E2,1.315957983E1,5.837114811E0
3.148091757E1,5.205582087E1,4.349737491E0,1.425667861E0,7.572967651E-1,3.179185383E2,1.340970653E1,5.987113579E0
3.248089814E1,5.205578610E1,4.349766448E0,1.588274548E-1,2.249250384E0,1.603587772E2,1.341509866E1,5.942001341E0
3.348087811E1,5.205575375E1,4.349831102E0,-3.986063348E-1,3.963458004E0,1.371076269E2,1.341509865E1,5.854208021E0
3.448085940E1,5.205572629E1,4.349881374E0,-4.070646139E-1,3.940994158E0,1.345036222E2,1.421097674E1,6.192118659E0
3.548083973E1,5.205574566E1,4.349840465E0,-6.918889126E-1,6.263115488E-1,2.824719657E2,1.400226844E1,5.999462097E0
3.648082018E1,5.205577318E1,4.349778317E0,-6.226591095E-1,3.261148210E0,3.051478977E2,1.429975229E1,5.951809746E0
3.748080158E1,5.205580257E1,4.349726586E0,3.562895628E-1,3.832992878E0,3.123299596E2,1.432724701E1,5.849480053E0
3.848078191E1,5.205582000E1,4.349718018E0,1.120384910E0,2.328954722E0,3.226730730E2,1.368710984E1,5.546163395E0
3.948076165E1,5.205579036E1,4.349736068E0,2.089077728E-1,1.285082100E0,1.857585671E2,1.334495017E1,5.373154003E0
4.048074305E1,5.205574746E1,4.349800356E0,-3.890802534E-1,4.032237524E0,1.435741727E2,1.334495014E1,5.228679478E0
4.148072326E1,5.205569903E1,4.349870585E0,-1.338841664E-1,5.350400916E0,1.396691842E2,1.297645399E1,5.084756376E0
4.248070359E1,5.205568992E1,4.349875029E0,-1.313703004E-1,2.722979449E0,1.466598989E2,1.253646560E1,4.772149695E0
4.348068511E1,5.205571249E1,4.349858575E0,-1.765023582E-1,3.755109447E-1,NaN,1.283366166E1,4.514818296E0
4.448066521E1,5.205576106E1,4.349761513E0,1.775870901E-1,4.484937080E0,3.089134446E2,1.301778501E1,4.463528131E0
4.548064542E1,5.205581543E1,4.349716819E0,1.008427887E0,4.962995746E0,3.202772959E2,1.341458025E1,4.619281638E0
4.648062599E1,5.205580809E1,4.349729086E0,9.625317417E-1,1.603001193E0,3.109421271E2,1.465295030E1,5.000294011E0
4.748060656E1,5.205576081E1,4.349773107E0,1.462525465E-1,2.809420510E0,1.624070500E2,1.475167651E1,4.902130579E0
4.848058736E1,5.205576763E1,4.349779838E0,-1.178021245E-1,1.101994129E0,1.447602742E2,1.405213362E1,4.499388160E0
4.948056829E1,5.205574827E1,4.349816937E0,5.309339706E-2,0.000000000E0,1.328289638E2,1.338103510E1,4.166943420E0
5.048054850E1,5.205575740E1,4.349812648E0,-5.065173330E-1,4.522556022E-1,NaN,1.276631061E1,3.410311908E0
5.148052895E1,5.205576510E1,4.349774408E0,-1.212970450E0,1.066940693E0,2.876778399E2,1.222870325E1,3.018119900E0
5.248050904E1,5.205578225E1,4.349769628E0,-1.234753806E0,1.329743030E0,3.334778404E2,1.175840363E1,3.000000000E0
5.348048997E1,5.205579451E1,4.349755311E0,-8.028878635E-1,0.000000000E0,3.249515268E2,1.165743107E1,3.000000000E0
5.448047042E1,5.205578452E1,4.349756412E0,-7.855675584E-1,4.626368630E-1,NaN,1.134959316E1,3.000000000E0
5.548045087E1,5.205576770E1,4.349781263E0,-8.507469445E-1,1.253328901E0,1.443263229E2,1.108732186E1,3.000000000E0
5.648043144E1,5.205570914E1,4.349883977E0,4.688259531E-1,4.929771537E0,1.341296443E2,1.083151090E1,3.000000000E0
5.748041153E1,5.205573689E1,4.349866050E0,1.045365702E0,1.371150187E0,1.205158900E2,1.053302332E1,3.000000000E0
5.848039234E1,5.205574324E1,4.349841512E0,1.159986589E0,6.590032945E-1,2.771866990E2,1.031719898E1,3.000000000E0
5.948037350E1,5.205576939E1,4.349792223E0,1.280402820E0,2.470891660E0,3.081872380E2,1.014884087E1,3.000000000E0
6.048035336E1,5.205582305E1,4.349750999E0,1.675199761E0,4.141543816E0,3.279958115E2,9.883326103E0,3.000000000E0
6.148033428E1,5.205581215E1,4.349767290E0,3.161189314E-1,1.216640348E0,3.252851187E2,9.648711701E0,3.000000000E0
6.248031473E1,5.205579196E1,4.349771020E0,-1.809901092E-2,1.191511256E0,1.972451821E2,9.380779089E0,3.000000000E0
6.348029494E1,5.205578976E1,4.349799858E0,-1.137229446E0,1.045512988E0,1.309781834E2,9.236705378E0,3.000000000E0
6.448027599E1,5.205577731E1,4.349830445E0,-8.286495097E-1,0.000000000E0,1.234450710E2,9.118794010E0,3.000000000E0
6.548025668E1,5.205577521E1,4.349851525E0,-1.992312516E0,8.820041236E-1,1.047671302E2,9.086422457E0,3.000000000E0
6.648023641E1,5.205577807E1,4.349778940E0,-1.359999103E0,2.419404134E0,2.733139190E2,9.254357905E0,3.000000000E0
6.748021734E1,5.205581842E1,4.349727921E0,-1.223868859E0,3.831200075E0,3.069702624E2,9.823934096E0,3.000000000E0
6.848019814E1,5.205584277E1,4.349698538E0,-1.047007139E0,3.722272893E0,3.151009628E2,9.945093310E0,3.000000000E0
6.948017859E1,5.205581420E1,4.349740838E0,-9.223648729E-1,7.451539054E-1,2.981801972E2,1.004227036E1,3.000000000E0
7.048015857E1,5.205578207E1,4.349779144E0,-1.008479444E0,2.029620831E0,1.515595079E2,1.007469613E1,3.000000000E0
7.148013878E1,5.205574270E1,4.349816236E0,-7.925777910E-1,2.922525016E0,1.480386111E2,1.038887163E1,3.000000000E0
7.248012006E1,5.205574582E1,4.349827523E0,-1.752380691E0,1.104780998E0,1.322448903E2,1.115650593E1,3.000000000E0
7.348009980E1,5.205574976E1,4.349811778E0,-1.867731805E0,3.269627570E-1,2.558771724E2,1.212246623E1,3.000000000E0
7.448008084E1,5.205578055E1,4.349741348E0,-1.837271187E0,3.354965071E0,3.018845636E2,1.230504156E1,3.000000000E0
7.548006153E1,5.205582459E1,4.349709894E0,-1.549371878E0,4.227806407E0,3.200602887E2,1.241807616E1,3.000000000E0
7.648004246E1,5.205582214E1,4.349719334E0,-1.149420607E0,1.857902329E0,3.213101798E2,1.276721451E1,3.000000000E0
7.748002267E1,5.205577414E1,4.349770846E0,-1.406782879E0,1.711006432E0,1.542830453E2,1.264337870E1,3.000000000E0
7.848000324E1,5.205574140E1,4.349825243E0,-1.363828328E0,3.224838547E0,1.416556779E2,1.273623997E1,3.003879915E0
7.947998333E1,5.205569539E1,4.349893658E0,5.304887518E-2,4.882493222E0,1.373266054E2,1.264075246E1,3.000000000E0
8.047996449E1,5.205570823E1,4.349898693E0,2.647818821E-1,2.147244506E0,1.269900573E2,1.261718817E1,3.000000000E0
8.147994411E1,5.205574565E1,4.349843729E0,-5.386978881E-1,1.795627766E0,3.182705950E2,1.261609551E1,3.000000000E0
8.247992563E1,5.205579746E1,4.349774324E0,-4.271715768E-1,4.419396247E0,3.193299588E2,1.294817087E1,3.000000000E0
8.347990489E1,5.205580327E1,4.349778064E0,-1.838031746E-1,0.000000000E0,3.255954156E2,1.301173513E1,3.000000000E0
8.447988641E1,5.205579527E1,4.349782147E0,-1.262670153E0,9.090248910E-1,2.995516296E2,1.324758982E1,3.000000000E0
8.547986603E1,5.205577848E1,4.349794054E0,-4.698637426E0,1.119785343E0,1.793315586E2,1.339083989E1,3.000000000E0
8.647984636E1,5.205575135E1,4.349846899E0,-4.310776833E0,2.825066779E0,1.364736644E2,1.345224511E1,3.000000000E0
8.747982764E1,5.205575798E1,4.349836693E0,-3.927127078E0,0.000000000E0,1.364736563E2,1.343843802E1,3.000000000E0
8.847980845E1,5.205574288E1,4.349835367E0,-2.917950558E0,4.311678502E-1,1.949846668E2,1.356399420E1,3.000000000E0
8.947978806E1,5.205575880E1,4.349788635E0,-2.701849064E0,1.885657601E0,2.901180133E2,1.344815109E1,3.000000000E0
9.047976971E1,5.205577366E1,4.349784355E0,-2.115490323E0,0.000000000E0,3.203193105E2,1.317107308E1,3.000000000E0
9.147974956E1,5.205577366E1,4.349784355E0,-2.115490323E0,0.000000000E0,3.203193105E2,1.325533235E1,3.000000000E0
9.247973001E1,5.205573199E1,4.349803221E0,-2.130168882E0,0.000000000E0,NaN,1.335742070E1,3.000000000E0
9.347971070E1,5.205573199E1,4.349803221E0,-2.130168882E0,0.000000000E0,NaN,1.339571223E1,3.000000000E0
9.447969127E1,5.205568689E1,4.349875334E0,-2.204832173E0,3.405665745E0,1.498710247E2,1.423402520E1,3.183591993E0
9.547967172E1,5.205574299E1,4.349831836E0,-1.373268290E0,6.479342178E-1,NaN,1.423402521E1,3.000000000E0
9.647965252E1,5.205575927E1,4.349791601E0,-1.146642397E0,1.574805303E0,2.940169874E2,1.434988965E1,3.000000000E0
9.747963250E1,5.205575547E1,4.349805442E0,-1.126411883E0,0.000000000E0,2.940169983E2,1.433244523E1,3.000000000E0
9.847961271E1,5.205575547E1,4.349805442E0,-1.126411883E0,0.000000000E0,2.940169983E2,1.463656250E1,3.000000000E0
9.947959363E1,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.495255171E1,3.000000000E0
1.004795746E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.546780942E1,3.053448112E0
1.014795551E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.540616694E1,3.040311938E0
1.024795353E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.505405413E1,3.000000000E0
1.034795158E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.494321818E1,3.000000000E0
1.044794962E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.457150027E1,3.000000000E0
1.054794773E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.432815093E1,3.000000000E0
1.064794574E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.397747982E1,3.000000000E0
1.074794376E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.374253065E1,3.000000000E0
1.084794179E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.383686992E1,3.000000000E0
1.094793993E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.380623278E1,3.000000000E0
1.104793793E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.388258478E1,3.000000000E0
1.114793600E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,1.958278790E2,1.414910551E1,3.000000000E0
1.124793409E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.425015148E1,3.000000000E0
1.134793211E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.429882199E1,3.000000000E0
1.144793018E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.451733132E1,3.000000000E0
1.154792820E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.467268794E1,3.000000000E0
1.164792628E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.470641349E1,3.000000000E0
1.174792426E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,NaN,1.440898361E1,3.000000000E0
1.184792237E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,1.344068908E2,1.421683093E1,3.255387752E0
1.194792038E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,1.344068908E2,1.404864366E1,3.311991200E0
1.204791849E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,1.344068908E2,1.408892344E1,3.413907711E0
1.214791648E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,1.344068908E2,1.412987565E1,3.508051915E0
1.224791452E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,1.344068908E2,1.413624044E1,3.529170794E0
1.234791257E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,1.344068908E2,1.465118584E1,3.723763594E0
1.244791069E2,5.205577224E1,4.349786815E0,-2.051870525E-1,0.000000000E0,1.344068908E2,1.497299518E1,3.732041465E0
