"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.870337495E-2,9.445580796E-1,1.830211566E-1,-3.823397197E-2,-2.699101880E-1,3.833663418E1,2.150097739E1,1.522535793E0,-3.160578956E1
2.872237499E-2,9.444474863E-1,1.830725072E-1,-3.826554523E-2,-2.702573938E-1,3.837521236E1,2.150720841E1,1.528477527E0,-3.164705793E1
3.874137497E-2,9.443644991E-1,1.829867542E-1,-3.842867988E-2,-2.705823038E-1,3.840413620E1,2.150219159E1,1.515340222E0,-3.168872620E1
4.876137496E-2,9.443094553E-1,1.828283084E-1,-3.868751948E-2,-2.708442886E-1,3.842330928E1,2.149211380E1,1.488140157E0,-3.172516976E1
5.878037499E-2,9.442828396E-1,1.826087497E-1,-3.893453689E-2,-2.710497756E-1,3.843257688E1,2.147490653E1,1.459005115E0,-3.175482333E1
6.879937497E-2,9.442880869E-1,1.823457586E-1,-3.915085032E-2,-2.711774595E-1,3.843074994E1,2.145198703E1,1.430065267E0,-3.177475588E1
7.881837495E-2,9.443121527E-1,1.820630165E-1,-3.938695697E-2,-2.712498256E-1,3.842236992E1,2.142756352E1,1.397121779E0,-3.178864967E1
8.883774997E-2,9.443493684E-1,1.818227478E-1,-3.960811202E-2,-2.712489405E-1,3.840940751E1,2.140754372E1,1.365525754E0,-3.179357341E1
9.885675000E-2,9.443729074E-1,1.816708348E-1,-3.983652159E-2,-2.712354325E-1,3.840120658E1,2.139769402E1,1.335689691E0,-3.179706239E1
1.088757500E-1,9.443675126E-1,1.816334347E-1,-4.002902206E-2,-2.712509425E-1,3.840308626E1,2.139953328E1,1.314037173E0,-3.180304453E1
1.188947500E-1,9.443525294E-1,1.816537653E-1,-4.017228446E-2,-2.712683702E-1,3.840830632E1,2.140630301E1,1.299593740E0,-3.180813135E1
1.289137500E-1,9.443229213E-1,1.816877093E-1,-4.029443130E-2,-2.713303472E-1,3.841861962E1,2.141387920E1,1.288855119E0,-3.181796980E1
1.389327500E-1,9.442944932E-1,1.817053794E-1,-4.039500422E-2,-2.714025236E-1,3.842851936E1,2.141893987E1,1.280153636E0,-3.182856348E1
1.489517500E-1,9.442804583E-1,1.816993998E-1,-4.044405788E-2,-2.714480001E-1,3.843340594E1,2.141975712E1,1.275670466E0,-3.183495092E1
1.589707500E-1,9.442938399E-1,1.816477278E-1,-4.050112471E-2,-2.714277064E-1,3.842874682E1,2.141578281E1,1.267401606E0,-3.183385769E1
1.689897500E-1,9.443324464E-1,1.815670956E-1,-4.059749875E-2,-2.713329603E-1,3.841530204E1,2.140988843E1,1.252310682E0,-3.182491503E1
1.790097500E-1,9.443842449E-1,1.814650949E-1,-4.073865381E-2,-2.711993969E-1,3.839725602E1,2.140305038E1,1.230840266E0,-3.181240535E1
1.890287500E-1,9.444405110E-1,1.813531687E-1,-4.089664654E-2,-2.710547911E-1,3.837764430E1,2.139564184E1,1.206989971E0,-3.179897788E1
1.990477500E-1,9.444999591E-1,1.812460736E-1,-4.103261228E-2,-2.708986581E-1,3.835691296E1,2.138808914E1,1.185421660E0,-3.178371856E1
2.090667500E-1,9.445618307E-1,1.811403324E-1,-4.110242326E-2,-2.707427147E-1,3.833532504E1,2.137859885E1,1.171052013E0,-3.176705690E1
2.190857500E-1,9.446183707E-1,1.810574611E-1,-4.113678348E-2,-2.705959805E-1,3.831558715E1,2.137054966E1,1.161448930E0,-3.175069364E1
2.291047500E-1,9.446684200E-1,1.810014849E-1,-4.122586611E-2,-2.704449472E-1,3.829810694E1,2.136724115E1,1.146698392E0,-3.173496916E1
2.391237500E-1,9.447095343E-1,1.809887512E-1,-4.141422565E-2,-2.702809328E-1,3.828374166E1,2.137192120E1,1.122312134E0,-3.171981305E1
2.491427500E-1,9.447445373E-1,1.810200400E-1,-4.163731419E-2,-2.701031363E-1,3.827150757E1,2.138264465E1,1.095270422E0,-3.170374960E1
2.591617500E-1,9.447812472E-1,1.810337325E-1,-4.190006291E-2,-2.699253188E-1,3.825867283E1,2.139263764E1,1.063378382E0,-3.168856707E1
2.691807500E-1,9.448221296E-1,1.809773611E-1,-4.227841517E-2,-2.697610303E-1,3.824437438E1,2.139837919E1,1.017060045E0,-3.167753224E1
2.791997500E-1,9.448834743E-1,1.808193683E-1,-4.271375523E-2,-2.695831074E-1,3.822290968E1,2.139451159E1,9.610472059E-1,-3.166622688E1
2.892187500E-1,9.449590436E-1,1.805839992E-1,-4.311248549E-2,-2.694123705E-1,3.819645180E1,2.138079542E1,9.066897241E-1,-3.165504154E1
