"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
8.019708330E-3,8.925208830E-1,1.338948518E-1,1.660660392E-1,3.973672313E-1,5.361650113E1,2.220189009E1,1.095418264E1,5.015470076E1
1.804170833E-2,8.933043929E-1,1.321559190E-1,1.631401799E-1,3.974006959E-1,5.341708356E1,2.185766248E1,1.074451422E1,5.004585017E1
2.806270833E-2,8.940538271E-1,1.305565804E-1,1.603166914E-1,3.973932148E-1,5.322569134E1,2.153431460E1,1.053865855E1,4.993838946E1
3.808370832E-2,8.947358053E-1,1.293575658E-1,1.576438437E-1,3.973198371E-1,5.305097007E1,2.126172587E1,1.032936969E1,4.983249241E1
4.810470832E-2,8.953468081E-1,1.284773908E-1,1.551486462E-1,3.972109718E-1,5.289397798E1,2.103290677E1,1.012279716E1,4.973179477E1
5.812570837E-2,8.958965927E-1,1.276780336E-1,1.529064128E-1,3.970986715E-1,5.275234494E1,2.082684757E1,9.937575465E0,4.964056408E1
6.814670836E-2,8.964375054E-1,1.268296597E-1,1.508082373E-1,3.969521691E-1,5.261265207E1,2.062347693E1,9.769778227E0,4.955027354E1
7.816770836E-2,8.969809047E-1,1.258156750E-1,1.489039320E-1,3.967661750E-1,5.247196931E1,2.041293905E1,9.630242273E0,4.946082236E1
8.818870835E-2,8.975484120E-1,1.245922087E-1,1.470706982E-1,3.965526170E-1,5.232467003E1,2.018410991E1,9.508354068E0,4.936947533E1
9.820970835E-2,8.981842394E-1,1.231498355E-1,1.450617081E-1,3.963033605E-1,5.215917878E1,1.992289093E1,9.379612015E0,4.926770650E1
1.082307083E-1,8.988998507E-1,1.214692543E-1,1.427619409E-1,3.960345058E-1,5.197233556E1,1.962150586E1,9.232746435E0,4.915427953E1
1.182517083E-1,8.997156662E-1,1.196681858E-1,1.400303899E-1,3.957052335E-1,5.175856408E1,1.928492548E1,9.048380730E0,4.902130772E1
1.282727083E-1,9.006102330E-1,1.178980478E-1,1.369186373E-1,3.952905507E-1,5.152320813E1,1.893203814E1,8.824748682E0,4.886891165E1
1.382937083E-1,9.015211107E-1,1.162266223E-1,1.336876678E-1,3.948147970E-1,5.128252716E1,1.858406405E1,8.584539133E0,4.870846176E1
1.483147083E-1,9.024196183E-1,1.147995353E-1,1.304333990E-1,3.942677942E-1,5.104407849E1,1.826138728E1,8.330781830E0,4.854236249E1
1.583367083E-1,9.032632929E-1,1.137105536E-1,1.272748635E-1,3.936830699E-1,5.081923166E1,1.798032545E1,8.070621945E0,4.837840722E1
1.683577083E-1,9.040357814E-1,1.129507888E-1,1.243486545E-1,3.930634058E-1,5.061253898E1,1.774676586E1,7.818624851E0,4.822009174E1
1.783787084E-1,9.047385379E-1,1.124465564E-1,1.217044752E-1,3.924181376E-1,5.042381699E1,1.755526844E1,7.583406721E0,4.806889159E1
1.883997084E-1,9.053896646E-1,1.120854485E-1,1.192878529E-1,3.917611103E-1,5.024836888E1,1.739108920E1,7.364580785E0,4.792403204E1
1.984207084E-1,9.060189381E-1,1.117132788E-1,1.169936022E-1,3.911039356E-1,5.007826314E1,1.723257958E1,7.158455653E0,4.778318511E1
2.084417084E-1,9.066605396E-1,1.112387645E-1,1.146871410E-1,3.904348544E-1,4.990426653E1,1.706323141E1,6.955684947E0,4.764099227E1
2.184627083E-1,9.073580910E-1,1.106084994E-1,1.121939032E-1,3.897171568E-1,4.971445025E1,1.686855674E1,6.741382319E0,4.748850365E1
