Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
8.004723083E0,-2.822380829E0,3.790866852E0,-8.619226227E0
8.014770083E0,-2.885699158E0,3.818259888E0,-8.591533813E0
8.024816083E0,-2.839145966E0,3.881278839E0,-8.591982880E0
8.034862083E0,-2.859054565E0,3.964356079E0,-8.609047394E0
8.044908083E0,-2.766696625E0,4.049528961E0,-8.706794128E0
8.054954083E0,-2.782563629E0,3.959566040E0,-8.679700470E0
8.065001083E0,-2.753224640E0,3.930077362E0,-8.653205566E0
8.075047083E0,-2.750679932E0,3.880081329E0,-8.650660858E0
8.085093083E0,-2.745141449E0,3.860322418E0,-8.673563232E0
8.095139083E0,-2.765349426E0,3.775897980E0,-8.686735840E0
8.105185083E0,-2.722239075E0,3.782035217E0,-8.657696228E0
8.115232083E0,-2.791694641E0,3.744613037E0,-8.615184631E0
8.125278083E0,-2.790946198E0,3.749253387E0,-8.628357239E0
8.135324083E0,-2.736758881E0,3.789669342E0,-8.620274048E0
8.145370083E0,-2.745440826E0,3.789519653E0,-8.610244904E0
8.155416083E0,-2.726280670E0,3.814218292E0,-8.627459106E0
8.165463083E0,-2.729873199E0,3.799698486E0,-8.617429962E0
8.175509083E0,-2.731669464E0,3.788022766E0,-8.622220001E0
8.185555083E0,-2.737956390E0,3.775299225E0,-8.594228210E0
8.195601083E0,-2.721939697E0,3.796105957E0,-8.609346771E0
8.205647083E0,-2.713108063E0,3.812571716E0,-8.624165955E0
8.215694083E0,-2.680326233E0,3.844754791E0,-8.616382141E0
8.225740083E0,-2.656376038E0,3.864962769E0,-8.602910156E0
8.235786083E0,-2.666704559E0,3.852388916E0,-8.616382141E0
8.245832083E0,-2.673889618E0,3.859274597E0,-8.617579651E0
8.255878083E0,-2.685265961E0,3.871100006E0,-8.627309418E0
8.265925083E0,-2.675386505E0,3.876488800E0,-8.623118134E0
8.275971083E0,-2.687810669E0,3.870351563E0,-8.631500702E0
8.286017083E0,-2.679727478E0,3.856729889E0,-8.631949768E0
8.296063083E0,-2.683170319E0,3.853436737E0,-8.619525604E0
8.306109083E0,-2.679428101E0,3.892804871E0,-8.610244904E0
8.316156083E0,-2.660717010E0,3.885619812E0,-8.630602570E0
8.326202083E0,-2.700983276E0,3.866459656E0,-8.641978912E0
8.336248083E0,-2.716251526E0,3.848197632E0,-8.621621246E0
8.346294083E0,-2.723286896E0,3.832480316E0,-8.631800079E0
8.356340083E0,-2.739303589E0,3.838916931E0,-8.618477783E0
8.366387083E0,-2.741548920E0,3.837569733E0,-8.635093231E0
8.376433083E0,-2.759511566E0,3.795058136E0,-8.633596344E0
8.386479083E0,-2.773582306E0,3.809727631E0,-8.607101440E0
8.396525083E0,-2.742596741E0,3.840114441E0,-8.619525604E0
8.406571083E0,-2.742896118E0,3.856131134E0,-8.639134827E0
8.416618083E0,-2.741848297E0,3.830983429E0,-8.618178406E0
8.426664083E0,-2.763403473E0,3.805835724E0,-8.643176422E0
8.436710083E0,-2.789000244E0,3.766916656E0,-8.598419495E0
8.446756083E0,-2.779869232E0,3.800895996E0,-8.621022491E0
8.456802083E0,-2.762804718E0,3.810027008E0,-8.623866577E0
8.466849083E0,-2.737806702E0,3.866759033E0,-8.665330353E0
8.476895583E0,-2.682122498E0,3.910617828E0,-8.685238953E0
8.486941583E0,-2.670297089E0,3.914809113E0,-8.644224243E0
8.496987583E0,-2.720592499E0,3.892206116E0,-8.645122375E0
8.507033583E0,-2.771636353E0,3.841012573E0,-8.648565216E0
8.517080583E0,-2.753524017E0,3.858376465E0,-8.696764984E0
8.527126583E0,-2.837649078E0,3.829187164E0,-8.544830933E0
8.537172583E0,-2.752476196E0,3.871998138E0,-8.605754242E0
8.547218583E0,-2.746488647E0,3.886218567E0,-8.638835449E0
8.557264583E0,-2.737058258E0,3.919599152E0,-8.626111908E0
8.567311583E0,-2.724185028E0,3.936513977E0,-8.626560974E0
8.577357583E0,-2.717748413E0,3.935466156E0,-8.612340546E0
8.587403583E0,-2.729124756E0,3.913012848E0,-8.619974670E0
8.597449583E0,-2.744393005E0,3.872147827E0,-8.593330078E0
8.607495583E0,-2.746937714E0,3.850892029E0,-8.596323853E0
8.617542583E0,-2.736010437E0,3.851341095E0,-8.593030701E0
8.627588583E0,-2.756817169E0,3.831432495E0,-8.591683502E0
8.637634583E0,-2.761457520E0,3.832929382E0,-8.576864319E0
8.647680583E0,-2.726280670E0,3.859723663E0,-8.597521362E0
8.657726583E0,-2.670147400E0,3.861070862E0,-8.624764709E0
8.667773583E0,-2.641257477E0,3.896547089E0,-8.613388367E0
8.677819583E0,-2.654879150E0,3.891457672E0,-8.622968445E0
8.687865583E0,-2.634222107E0,3.883224792E0,-8.622070312E0
8.697911583E0,-2.639610901E0,3.872596893E0,-8.613388367E0
8.707957583E0,-2.650538177E0,3.857777710E0,-8.623716888E0
8.718004583E0,-2.696791992E0,3.836072845E0,-8.603957977E0
8.728050583E0,-2.712209930E0,3.846101990E0,-8.605454865E0
8.738096583E0,-2.692301331E0,3.893703003E0,-8.604107666E0
8.748142583E0,-2.719694366E0,3.880530396E0,-8.604706421E0
8.758188583E0,-2.755469971E0,3.870950317E0,-8.615184631E0
8.768235583E0,-2.738854523E0,3.884422302E0,-8.618627472E0
8.778281583E0,-2.761008453E0,3.874542847E0,-8.604706421E0
8.788327583E0,-2.769989777E0,3.867058411E0,-8.619375916E0
8.798373583E0,-2.766397247E0,3.847449188E0,-8.628955994E0
8.808419583E0,-2.776875458E0,3.853436737E0,-8.637039185E0
8.818466583E0,-2.805615692E0,3.837120667E0,-8.654552765E0
8.828512583E0,-2.792592773E0,3.857478333E0,-8.667725372E0
8.838558583E0,-2.787952423E0,3.855532379E0,-8.657845917E0
8.848604583E0,-2.806962891E0,3.832630005E0,-8.640482025E0
8.858650583E0,-2.762355652E0,3.839365997E0,-8.622070312E0
8.868697583E0,-2.785856781E0,3.855233002E0,-8.625662842E0
8.878743583E0,-2.796933746E0,3.855981445E0,-8.634644165E0
8.888789583E0,-2.766097870E0,3.871100006E0,-8.615034943E0
8.898835583E0,-2.772833862E0,3.870501251E0,-8.601712646E0
8.908881583E0,-2.790048065E0,3.878434753E0,-8.613538055E0
8.918928583E0,-2.760559387E0,3.878135376E0,-8.613388367E0
8.928974583E0,-2.763104095E0,3.883374481E0,-8.625962219E0
8.939020583E0,-2.743345184E0,3.894301758E0,-8.617729340E0
