Time (s),X (rad/s),Y (rad/s),Z (rad/s)
7.998445083E0,-1.080994867E-2,6.157923955E-3,-5.176512152E-2
8.008491083E0,-9.915904142E-3,1.140897442E-2,-4.654708877E-2
8.018538083E0,-1.227945834E-2,1.517921127E-2,-4.271000624E-2
8.028584083E0,-1.157618966E-2,1.960234530E-2,-3.802708909E-2
8.038630083E0,-1.477065030E-2,1.956719160E-2,-4.069344699E-2
8.048676083E0,-2.236293629E-2,1.970012113E-2,-4.722460732E-2
8.058722083E0,-2.639336325E-2,1.948360726E-2,-5.099138245E-2
8.068769083E0,-2.684767544E-2,1.683838665E-2,-5.101897195E-2
8.078815083E0,-3.063895181E-2,1.486871205E-2,-5.606459826E-2
8.088861083E0,-3.025698289E-2,1.495342515E-2,-5.628608167E-2
8.098907083E0,-3.188790381E-2,1.169318333E-2,-5.572362244E-2
8.108953083E0,-2.861168236E-2,1.312889345E-2,-5.421866477E-2
8.119000083E0,-2.347405627E-2,1.393169910E-2,-4.887644947E-2
8.129046083E0,-2.322594449E-2,1.323365327E-2,-4.780243337E-2
8.139092083E0,-2.088262886E-2,9.027988650E-3,-4.096662998E-2
8.149138083E0,-1.632538252E-2,6.967870984E-3,-3.405035660E-2
8.159184083E0,-1.120838523E-2,3.738255706E-3,-2.656127699E-2
8.169231083E0,-4.520363640E-3,-8.884459967E-4,-1.788502373E-2
8.179277083E0,2.373229247E-3,-5.321277305E-3,-7.302686572E-3
8.189323083E0,4.667810164E-3,-6.233764347E-3,1.192102092E-3
8.199369083E0,4.660885781E-3,-7.574932184E-3,6.457704119E-3
8.209415083E0,6.585816853E-3,-7.471956313E-3,6.752043962E-3
8.219462083E0,5.735735875E-3,-7.841070183E-3,8.045008406E-3
8.229508083E0,4.318885971E-3,-5.880823825E-3,6.495799404E-3
8.239554083E0,1.172095072E-3,-5.379883107E-3,4.627858289E-3
8.249600083E0,2.074497752E-4,-1.668468467E-4,1.985913608E-3
8.259646083E0,-3.206552938E-4,-8.677908336E-4,-9.912340902E-4
8.269693083E0,-1.646399964E-3,2.636473626E-3,-3.288747277E-3
8.279739083E0,-2.617388498E-3,2.115026815E-3,-3.360919189E-3
8.289785083E0,-6.304043345E-4,1.643114723E-3,-4.249083344E-3
8.299831083E0,-3.109274432E-3,2.508908277E-3,-6.625422277E-3
8.309877083E0,-2.281444147E-3,5.070999730E-3,-7.225557230E-3
8.319924083E0,-3.287852276E-3,1.942850649E-3,-8.200540207E-3
8.329970083E0,-1.687895507E-3,2.704579616E-3,-7.691763341E-3
8.340016083E0,-5.296869203E-4,2.140522236E-3,-8.771941997E-3
8.350062083E0,-1.701501664E-3,1.343163894E-3,-5.180877168E-3
